Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB
0,48,62,62,1,1,56.39,56.39,64.95,72,66,64,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,84,72,78,0,1,58,58,66.53,71,58,50,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,78.7,71,49,0,1,92,92,66.86,60,50,77,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,87.2,67.5,60.31,1,1,88,88,70.1,69,77,73,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,85,67,76,0,1,82,82,71.43,68,75,80,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,78,52,66,1,1,79,79,52.41,53,57,54,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,60,57,60,0,0,0,0,59.15,50,65,63,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
1,61,52,50,1,0,0,0,65.13,65,70,66,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,55,61.2,59.6,1,1,60,60,62.54,67,66,58,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,52,59,38,1,1,40,40,62.01,52,69,64,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1,50,53,55,0,1,58,58,53.94,50,70,55,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,59,90,67,0,1,50,50,59.47,63,77,66,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,67.67,75,67.8,0,1,49.94,49.94,67.44,72,66,69,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
