Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science
1,1.204403978,1.031367568,-0.024946021,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,-0.61737452,-0.350355027,-1.422767696,0.719634651,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,-0.102368307,-1.09770184,-0.49452674,2.178353538,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,1.30113558,2.030726678,1.940740711,-0.739084236,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0.692084755,0.57079337,0.127940725,-0.739084236,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,-1.296287058,0.032008458,0.521078071,0.719634651,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,-2.431092052,-1.410544691,-3.028078527,-0.739084236,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,-2.46064893,-0.923900255,-0.352560476,-0.739084236,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0.584605197,-0.402495502,-0.024946021,0.719634651,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0.808520942,2.699862778,1.488632762,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,1.001984145,0.6837644,-0.532748426,-0.739084236,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,-1.654552249,-0.141793126,-0.570970113,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,-0.400624079,0.249260439,-0.702015895,0.719634651,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0.208426746,-1.184602632,-0.747881919,0.719634651,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0.226340006,-1.184602632,-1.226199023,-0.739084236,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,0.405472602,0.987917172,-1.553813478,0.719634651,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,-0.400624079,0.727214796,0.193463616,0.719634651,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,-0.938021866,-1.445305008,-0.461765294,-0.739084236,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0.04720741,-0.489396295,0.302668435,2.178353538,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,-1.654552249,-0.489396295,-1.553813478,0.719634651,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,1.157829504,0.414371944,1.364139269,0.719634651,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,1.420258756,0.987917172,-0.898584568,0.719634651,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,-0.508103637,-1.619106593,-0.603731558,0.719634651,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,-1.843537138,-1.286276559,-0.898584568,2.178353538,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0.799564312,0.987917172,0.125756629,0.719634651,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1.766880329,0.362231469,-0.898584568,0.719634651,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
1,0.129608404,1.943825886,0.957897345,0.719634651,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,-0.400624079,1.422421133,2.268355166,-0.739084236,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,-0.346884301,0.257950518,-0.822141195,-0.739084236,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
